aileron,elevator,rudder,flaps,slats,speedbrake,throttle,throttle,engine-pump,engine-pump,electric-pump,electric-pump,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
-0.007828,-0.031754,0,0,0,0,0.621103,0,0,0,0,0,0,0,63.99182928,-22.60542623,146.227112,0.079845,5.171815,179.951889,-24.446857,3.614268,0.006927,0.008072,3.222779,18.664469,-244.973465,5.171528,0.079967,5.171528,0.079967,-239.999863,-240,146.227112,0.189255,0.288755,193.163605,179.178253,0.007125,-0.039908,-20.787134,1229.64624
-0.007828,-0.031754,0,0,0,0,0.636728,0,0,0,0,0,0,0,63.99182891,-22.60542623,146.227661,0.078404,5.175181,179.945618,-24.053484,3.673428,0.006894,0.008782,3.287682,18.656023,-244.981903,5.174904,0.07853,5.174904,0.07853,-239.999863,-240,146.227661,0.200694,0.327801,193.157425,178.454178,0.008554,-0.038862,-10.65472,1250.272705
-0.007828,-0.031754,0,0,0,0,0.664073,0,0,0,0,0,0,0,63.99182855,-22.60542623,146.228226,0.077127,5.178229,179.939194,-23.658754,3.730629,0.006898,0.009517,3.349934,18.648445,-244.989487,5.177961,0.07728,5.177961,0.07728,-239.999863,-240,146.228226,0.212295,0.353933,193.151077,177.828934,0.009627,-0.038054,-9.576578,1268.916626
-0.007828,-0.031754,0,0,0,0,0.68751,0,0,0,0,0,0,0,63.99182819,-22.60542622,146.228775,0.076099,5.180981,179.93251,-23.247986,3.784632,0.00693,0.010268,3.410408,18.641535,-244.996399,5.180722,0.076178,5.180722,0.076178,-239.999863,-240,146.228775,0.223846,0.364801,193.14447,177.292542,0.011117,-0.037476,-16.804178,1286.159302
-0.007828,-0.031754,0,0,0,0,0.703136,0,0,0,0,0,0,0,63.99182777,-22.60542622,146.229431,0.074905,5.183967,179.924408,-22.837339,3.847963,0.006929,0.011074,3.479174,18.633945,-245.003983,5.183712,0.074985,5.183712,0.074985,-239.999863,-240,146.229431,0.237489,0.395763,193.136444,176.747742,0.01335,-0.037006,-16.054193,1305.724976
-0.007828,-0.031754,0,0,0,0,0.722667,0,0,0,0,0,0,0,63.99182732,-22.60542622,146.230133,0.073658,5.186975,179.915405,-22.426956,3.914999,0.006932,0.011928,3.551724,18.626425,-245.011505,5.186722,0.073736,5.186722,0.073736,-249.999863,-250,146.230133,0.252266,0.431992,193.127548,176.24527,0.014448,-0.036706,-13.337512,1326.263916
-0.007828,-0.031754,0,0,0,0,0.738293,0,0,0,0,0,0,0,63.99182683,-22.60542622,146.230881,0.072376,5.190063,179.905457,-21.998032,3.985465,0.006919,0.012799,3.627496,18.618948,-245.018982,5.189808,0.072482,5.189808,0.072482,-249.999863,-250,146.230881,0.268227,0.464262,193.117676,175.785294,0.014907,-0.036585,-11.058045,1347.995605
-0.007828,-0.031754,0,0,0,0,0.761715,0,0,0,0,0,0,0,63.99182626,-22.60542622,146.231766,0.070881,5.19354,179.893265,-21.573797,4.067734,0.006895,0.013772,3.715338,18.610796,-245.02713,5.193277,0.071051,5.193277,0.071051,-249.999863,-250,146.231766,0.286918,0.513741,193.105591,175.334991,0.017231,-0.036681,-10.771151,1372.913696
-0.007828,-0.031754,0,0,0,0,0.785153,0,0,0,0,0,0,0,63.99182574,-22.60542621,146.232574,0.069806,5.196625,179.881866,-21.134592,4.139278,0.006925,0.014744,3.792518,18.604164,-245.033768,5.196353,0.069899,5.196353,0.069899,-249.999863,-250,146.232574,0.303927,0.530379,193.094284,174.992905,0.018961,-0.036941,-16.299778,1395.310547
-0.007828,-0.031754,0,0,0,0,0.792966,0,0,0,0,0,0,0,63.99182509,-22.60542621,146.233582,0.068085,5.200494,179.866776,-20.665789,4.23061,0.0069,0.015828,3.890012,18.596193,-245.041733,5.200212,0.068236,5.200212,0.068236,-249.999863,-250,146.233582,0.325511,0.585259,193.079346,174.634521,0.019543,-0.037508,-16.118988,1423.52832
